layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
open,gnn,5,13,1,17,2,1,0.060569185004969835,43.16868673233968,240,0.5987545308579477,0.5198217288125306
open,orca,5,14,1,55,2,1,0.06959964675602462,37.431723794826645,123,0.12661067321123765,0.06886096519789076
open,rvo,5,14,1,4,1,1,0.5732218250001679,30.46399844150262,83,0.11767866220568939,6.297237570790283
open,astar,5,14,1,11,2,1,0.40067352038839243,38.07999873298887,85,0.12196437582767646,0.11291354346801252
open,mlp,5,14,1,29,2,1,0.041791865703796054,29.696040011865676,240,0.27294807427687673,0.18244882230646908
open,gnn,5,14,1,17,2,1,0.1530950556008241,42.19134515944531,240,0.597467797533956,0.516271141047279
open,orca,5,15,1,56,2,1,0.0660112076609494,31.71435251874595,108,0.17443693845680644,0.06942069847826604
open,rvo,5,15,1,8,2,1,0.4767856212193601,26.375998144477713,72,0.12269532888871451,6.464781834640437
open,astar,5,15,1,10,2,1,0.2899068108950289,32.25599906754369,72,0.11661737467162252,0.11991210825120409
open,mlp,5,15,1,21,2,1,0.2661709379139485,26.0216819165939,240,0.2243568501201627,0.18245699466206133
open,gnn,5,15,1,12,2,1,0.1989926023016221,33.11069699677836,240,0.5792828756717737,0.5230506125371903
open,orca,5,16,1,54,2,1,0.07492238433850858,28.307333152181915,98,0.1345340766985327,0.07259741197435224
open,rvo,5,16,1,9,2,1,0.3655358400026137,23.239998146038783,63,0.12619345663741477,6.33409343630312
open,astar,5,16,1,11,2,1,0.3060810135313153,29.567998961524722,66,0.1005778830702769,0.11291481187623559
open,mlp,5,16,1,21,2,1,0.18241605701855065,22.706390460220994,199,0.263313109051177,0.19593967414980556
open,gnn,5,16,1,14,2,1,0.07436650662533599,31.27484576974925,240,0.5827128835332156,0.5126727376288424
open,orca,5,17,1,55,2,1,0.07471713882564347,36.34876822591931,120,0.16085261177243435,0.06959082869191964
open,rvo,5,17,1,12,2,1,0.08233184513475354,29.67999878940977,82,0.10281262049282143,6.321353923029652
open,astar,5,17,1,11,2,1,0.40511573213207275,36.28799902584459,81,0.15523152567826765,0.08174932251373927
open,mlp,5,17,1,30,2,1,0.13594329299711527,29.159969253943622,240,0.2668402561118982,0.18242102426787218
open,gnn,5,17,1,18,2,1,0.029022770970747173,42.89225520640612,240,0.5995381878418573,0.5288628201621274
open,orca,5,18,1,52,2,1,0.08159625147243557,37.746773414115204,123,0.13162372418738633,0.06959421514737897
open,rvo,5,18,1,13,2,1,0.1888087074843401,31.191998147987253,85,0.10940340108170218,6.327193411176696
open,astar,5,18,1,5,1,1,0.4024769601580217,38.5279984108593,86,0.14112058736335822,0.12443396587704503
open,mlp,5,18,1,24,2,1,0.3827969714688556,30.20846645935788,240,0.26678715595044517,0.1871561825585862
open,gnn,5,18,1,17,2,1,0.1634574166791571,46.87885612751307,240,0.6146821115292875,0.5241325804187605
open,orca,5,19,1,55,2,1,0.0664251899357214,37.602546935690256,124,0.16926832498137906,0.06994090208242978
open,rvo,5,19,1,7,2,1,0.5307094038762425,30.799997611357327,84,0.12314524409601535,6.363435354571612
open,astar,5,19,1,6,1,1,0.3570384401859757,38.97599883683475,87,0.14130773708015693,0.13018439084976569
open,mlp,5,19,1,19,2,1,0.4277594128778208,30.138009829223694,240,0.2608340828481709,0.18345817225053906
open,gnn,5,19,1,17,2,1,0.16412605548618125,45.699454365010034,240,0.6140962990827468,0.5255521701959273
open,orca,10,10,1,87,5,1,0.08166888108345392,93.54255859245579,114,0.07503271722572553,0.203091524574056
open,rvo,10,10,1,18,4,1,0.2200344013162067,57.1199959109903,77,0.05764005710239826,22.161447189070962
open,astar,10,10,1,12,2,1,0.09370263567389917,86.23999706133938,77,0.09607463149995206,0.1967678257784286
open,mlp,10,10,1,91,5,1,0.09270468835573768,56.81267999807732,230,0.2158371021567845,0.184803470240339
open,gnn,10,10,0,52,5,1,0.1687575057002681,237.9555646836085,240,1.5748363605545328,0.5173150663419316
open,orca,10,11,1,87,5,1,0.07617068690993416,91.60798982087876,112,0.07713348148894658,0.20199884394449846
open,rvo,10,11,1,34,5,1,0.06742056923978221,55.943995926233484,76,0.05756541122264276,22.02316393193446
open,astar,10,11,1,14,2,1,0.038942944387287036,85.11999767754182,76,0.09511001621798047,0.21026743036743842
open,mlp,10,11,1,107,5,1,0.09330476767108493,53.63924097994815,240,0.21804632421157238,0.18446561492358646
open,gnn,10,11,0,41,5,1,0.41098785305605223,240.25593568471442,240,1.0428177564562922,0.5421870019442091
open,orca,10,12,1,69,5,1,0.1425365733565282,100.63667861241667,119,0.10005128994310879,0.20349127467439956
open,rvo,10,12,1,32,5,1,0.10147948158869138,67.5359959325605,91,0.07113147729045498,21.98667544359853
open,astar,10,12,1,16,3,1,0.4120816070961475,104.15999635862521,93,0.10267219378945942,0.22257310188105028
open,mlp,10,12,1,89,5,1,0.10832555490505734,67.87764984570657,240,0.27204870187642566,0.187794171506539
open,gnn,10,12,0,48,7,1,0.5615061376693161,247.07069675490118,240,1.2598587085622026,0.5308102641720325
open,orca,10,13,1,79,5,1,0.12889092115721196,103.57899976088194,124,0.08732477147227755,0.20223484945393377
open,rvo,10,13,1,20,5,1,0.37924966123930415,66.02399568859421,89,0.07011798891077925,21.90972700861565
